bucket_id,name,owner,created_at,updated_at,last_accessed_at,metadata
profile-photos,018c3ada-f3f5-4cbb-9bc7-4181a2666749/avatar-1777862673980.jpg,018c3ada-f3f5-4cbb-9bc7-4181a2666749,2026-05-04 02:44:41.705603+00,2026-05-04 02:44:41.705603+00,2026-05-04 02:44:41.705603+00,"{""eTag"": ""\""3579e98eb862c4bf953fd8109ec3798e\"""", ""size"": 54616, ""mimetype"": ""image/jpeg"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-05-04T02:44:42.000Z"", ""contentLength"": 54616, ""httpStatusCode"": 200}"
profile-photos,03b68ec8-b6bc-4cfe-be54-9a356433a4cd/avatar-1777570097325.webp,03b68ec8-b6bc-4cfe-be54-9a356433a4cd,2026-04-30 17:28:18.533892+00,2026-04-30 17:28:18.533892+00,2026-04-30 17:28:18.533892+00,"{""eTag"": ""\""e472ff2719500d414a374c65dd27662a\"""", ""size"": 735986, ""mimetype"": ""image/webp"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-04-30T17:28:19.000Z"", ""contentLength"": 735986, ""httpStatusCode"": 200}"
profile-photos,0bc8bcca-a18a-4b16-a960-7c5c3d105451/avatar-1777741612484.jpg,0bc8bcca-a18a-4b16-a960-7c5c3d105451,2026-05-02 17:06:52.741649+00,2026-05-02 17:06:52.741649+00,2026-05-02 17:06:52.741649+00,"{""eTag"": ""\""a4db3f33532d1437042138827a31bd51\"""", ""size"": 204029, ""mimetype"": ""image/jpeg"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-05-02T17:06:53.000Z"", ""contentLength"": 204029, ""httpStatusCode"": 200}"
profile-photos,0bc8bcca-a18a-4b16-a960-7c5c3d105451/avatar-1777741657773.webp,0bc8bcca-a18a-4b16-a960-7c5c3d105451,2026-05-02 17:07:38.295234+00,2026-05-02 17:07:38.295234+00,2026-05-02 17:07:38.295234+00,"{""eTag"": ""\""36d5e5e3ab3fc25118bb575b8cb17486\"""", ""size"": 723088, ""mimetype"": ""image/webp"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-05-02T17:07:39.000Z"", ""contentLength"": 723088, ""httpStatusCode"": 200}"
profile-photos,1321f773-e5cb-461f-9823-ee1f51c8e252/avatar-1777442439569.jpg,1321f773-e5cb-461f-9823-ee1f51c8e252,2026-04-29 06:00:41.200482+00,2026-04-29 06:00:41.200482+00,2026-04-29 06:00:41.200482+00,"{""eTag"": ""\""568e8c1a3ec564e050d8347cb53d781b\"""", ""size"": 107855, ""mimetype"": ""image/jpeg"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-04-29T06:00:42.000Z"", ""contentLength"": 107855, ""httpStatusCode"": 200}"
profile-photos,1321f773-e5cb-461f-9823-ee1f51c8e252/avatar-1777949083933.jpg,1321f773-e5cb-461f-9823-ee1f51c8e252,2026-05-05 02:44:44.631359+00,2026-05-05 02:44:44.631359+00,2026-05-05 02:44:44.631359+00,"{""eTag"": ""\""7653510f233e66202a70361fda4724c8\"""", ""size"": 68057, ""mimetype"": ""image/jpeg"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-05-05T02:44:45.000Z"", ""contentLength"": 68057, ""httpStatusCode"": 200}"
profile-photos,1321f773-e5cb-461f-9823-ee1f51c8e252/avatar-1777949117291.jpg,1321f773-e5cb-461f-9823-ee1f51c8e252,2026-05-05 02:45:18.152656+00,2026-05-05 02:45:18.152656+00,2026-05-05 02:45:18.152656+00,"{""eTag"": ""\""568e8c1a3ec564e050d8347cb53d781b\"""", ""size"": 107855, ""mimetype"": ""image/jpeg"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-05-05T02:45:19.000Z"", ""contentLength"": 107855, ""httpStatusCode"": 200}"
profile-photos,1739ae9e-c224-44ee-ba81-0c66b2dda82d/avatar-1778171645743.webp,1739ae9e-c224-44ee-ba81-0c66b2dda82d,2026-05-07 16:34:13.292372+00,2026-05-07 16:34:13.292372+00,2026-05-07 16:34:13.292372+00,"{""eTag"": ""\""f31a983fdf19a5599fc03d4a8567f33d\"""", ""size"": 143500, ""mimetype"": ""image/webp"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-05-07T16:34:14.000Z"", ""contentLength"": 143500, ""httpStatusCode"": 200}"
profile-photos,1739ae9e-c224-44ee-ba81-0c66b2dda82d/avatar-1779292034234.jpg,1739ae9e-c224-44ee-ba81-0c66b2dda82d,2026-05-20 15:47:18.949319+00,2026-05-20 15:47:18.949319+00,2026-05-20 15:47:18.949319+00,"{""eTag"": ""\""156db2193ebd5e61787a3adc9d52fb5e\"""", ""size"": 101188, ""mimetype"": ""image/jpeg"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-05-20T15:47:19.000Z"", ""contentLength"": 101188, ""httpStatusCode"": 200}"
profile-photos,1739ae9e-c224-44ee-ba81-0c66b2dda82d/avatar-1779292098164.webp,1739ae9e-c224-44ee-ba81-0c66b2dda82d,2026-05-20 15:48:25.453247+00,2026-05-20 15:48:25.453247+00,2026-05-20 15:48:25.453247+00,"{""eTag"": ""\""710c5bbfdfca12960883f939d082c39d\"""", ""size"": 237486, ""mimetype"": ""image/webp"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-05-20T15:48:26.000Z"", ""contentLength"": 237486, ""httpStatusCode"": 200}"
